tag,count,p50_ns,p99_ns,p999_ns,p9999_ns
Trading_TradeEngine_algoOnOrderUpdate_,388,43799.2,2016492.3,3226387.7,3226387.7
Trading_TradeEngine_algoOnOrderBookUpdate_,788,39196.9,739380.4,6452775.4,6452775.4
Trading_PositionKeeper_addFill,252,29943.8,302473.8,806596.9,806596.9
Trading_FeatureEngine_onOrderBookUpdate,788,10003.1,94523.1,806596.9,806596.9
Trading_FeatureEngine_onTradeUpdate,141,18241.2,88221.5,100824.6,100824.6
Trading_FeatureEngine_onOrderBookUpdate,788,9940.4,75618.5,806596.9,806596.9
Trading_FeatureEngine_onTradeUpdate,141,17764.2,75618.5,88221.5,88221.5
Trading_PositionKeeper_addFill,30,34658.5,49361.9,49361.9,49361.9
Trading_TradeEngine_algoOnTradeUpdate_,141,12427.7,44110.8,50412.3,50412.3
Trading_PositionKeeper_updateBBO,788,114.2,39909.6,100824.6,100824.6
Trading_PositionKeeper_updateBBO,788,90.4,35708.5,50412.3,50412.3
Trading_TradeEngine_algoOnOrderUpdate_,794,65.4,390.0,731.2,731.2
Trading_TradeEngine_algoOnTradeUpdate_,141,17.7,295.4,393.8,393.8
Trading_TradeEngine_algoOnOrderBookUpdate_,788,11.5,180.4,354.2,354.2
